2016-10-11 14:42:08 status unpacked libdrm2:i386 2.4.52-1
2016-10-11 14:42:08 status unpacked libdrm2:i386 2.4.52-1
2016-10-11 14:42:08 install libgcc1:i386 <none> 1:4.9-20140406-0ubuntu1
2016-10-11 14:42:08 status half-installed libgcc1:i386 1:4.9-20140406-0ubuntu1
2016-10-11 14:42:08 status unpacked libgcc1:i386 1:4.9-20140406-0ubuntu1
2016-10-11 14:42:08 status unpacked libgcc1:i386 1:4.9-20140406-0ubuntu1
2016-10-11 14:42:08 install libjson-c2:i386 <none> 0.11-3ubuntu1
2016-10-11 14:42:08 status half-installed libjson-c2:i386 0.11-3ubuntu1
2016-10-11 14:42:08 status unpacked libjson-c2:i386 0.11-3ubuntu1
2016-10-11 14:42:08 status unpacked libjson-c2:i386 0.11-3ubuntu1
2016-10-11 14:42:08 install libjson0:i386 <none> 0.11-3ubuntu1
2016-10-11 14:42:08 status half-installed libjson0:i386 0.11-3ubuntu1
2016-10-11 14:42:08 status unpacked libjson0:i386 0.11-3ubuntu1
2016-10-11 14:42:08 status unpacked libjson0:i386 0.11-3ubuntu1
2016-10-11 14:42:08 install libklibc:i386 <none> 2.0.3-0ubuntu1
2016-10-11 14:42:08 status half-installed libklibc:i386 2.0.3-0ubuntu1
2016-10-11 14:42:08 status unpacked libklibc:i386 2.0.3-0ubuntu1
2016-10-11 14:42:08 status unpacked libklibc:i386 2.0.3-0ubuntu1
2016-10-11 14:42:08 install libkmod2:i386 <none> 15-0ubuntu6
2016-10-11 14:42:08 status half-installed libkmod2:i386 15-0ubuntu6
2016-10-11 14:42:09 status unpacked libkmod2:i386 15-0ubuntu6
2016-10-11 14:42:09 status unpacked libkmod2:i386 15-0ubuntu6
2016-10-11 14:42:09 install liblzma5:i386 <none> 5.1.1alpha+20120614-2ubuntu2
2016-10-11 14:42:09 status half-installed liblzma5:i386 5.1.1alpha+20120614-2ubuntu2
2016-10-11 14:42:09 status unpacked liblzma5:i386 5.1.1alpha+20120614-2ubuntu2
